    energy       Pt-d_up     Pt-d_down
  8.529922 -2.302367e-15  2.481488e-04
  8.595922  0.000000e+00  1.561005e-05
  8.661922  0.000000e+00  3.574665e-07
  8.727922  0.000000e+00  3.200542e-09
  8.793922  0.000000e+00  1.152359e-11
  8.859922  0.000000e+00  1.691112e-14
  8.925922  0.000000e+00  9.641662e-18
  8.990922  0.000000e+00  0.000000e+00
  9.056922  0.000000e+00  0.000000e+00
  9.122922  0.000000e+00  0.000000e+00
  9.188922  0.000000e+00  0.000000e+00
  9.254922  0.000000e+00  0.000000e+00
