   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
 -8.58573   0.00156    -0.00148     0.00148      -0.00142
 -8.56070   0.00223    -0.00211     0.00209      -0.00202
 -8.53567   0.00286    -0.00273     0.00267      -0.00259
 -8.51064   0.00336    -0.00322     0.00306      -0.00298
 -8.48561   0.00360    -0.00346     0.00313      -0.00305
 -8.46058   0.00364    -0.00349     0.00292      -0.00284
 -8.43554   0.00355    -0.00341     0.00252      -0.00243
 -8.41051   0.00347    -0.00334     0.00207      -0.00202
 -8.38548   0.00350    -0.00335     0.00177      -0.00174
 -8.36045   0.00361    -0.00347     0.00169      -0.00166
 -8.33542   0.00377    -0.00362     0.00191      -0.00184
 -8.31039   0.00386    -0.00372     0.00230      -0.00224
 -8.28536   0.00384    -0.00370     0.00287      -0.00277
 -8.26033   0.00371    -0.00357     0.00344      -0.00332
 -8.23529   0.00354    -0.00341     0.00395      -0.00380
 -8.21026   0.00339    -0.00326     0.00433      -0.00421
 -8.18523   0.00337    -0.00324     0.00479      -0.00463
 -8.16020   0.00351    -0.00337     0.00543      -0.00525
 -8.13517   0.00388    -0.00373     0.00646      -0.00626
 -8.11014   0.00443    -0.00426     0.00786      -0.00762
 -8.08511   0.00501    -0.00483     0.00944      -0.00918
 -8.06008   0.00546    -0.00527     0.01073      -0.01048
 -8.03504   0.00559    -0.00543     0.01146      -0.01118
 -8.01001   0.00539    -0.00523     0.01146      -0.01123
 -7.98498   0.00494    -0.00480     0.01108      -0.01088
 -7.95995   0.00441    -0.00429     0.01089      -0.01068
 -7.93492   0.00405    -0.00393     0.01143      -0.01123
 -7.90989   0.00396    -0.00384     0.01295      -0.01270
 -7.88486   0.00414    -0.00403     0.01526      -0.01495
 -7.85982   0.00452    -0.00438     0.01766      -0.01729
 -7.83479   0.00490    -0.00473     0.01960      -0.01914
 -7.80976   0.00517    -0.00500     0.02065      -0.02015
 -7.78473   0.00530    -0.00511     0.02120      -0.02064
 -7.75970   0.00529    -0.00509     0.02268      -0.02198
 -7.73467   0.00532    -0.00510     0.02858      -0.02751
 -7.70964   0.00560    -0.00535     0.04698      -0.04493
 -7.68461   0.00651    -0.00620     0.09541      -0.09111
 -7.65957   0.00869    -0.00826     0.20744      -0.19885
 -7.63454   0.01305    -0.01243     0.43654      -0.42077
 -7.60951   0.02067    -0.01978     0.84858      -0.82292
 -7.58448   0.03224    -0.03105     1.49433      -1.45824
 -7.55945   0.04739    -0.04591     2.36465      -2.32190
 -7.53442   0.06396    -0.06236     3.35118      -3.31057
 -7.50939   0.07833    -0.07681     4.24847      -4.22165
 -7.48436   0.08642    -0.08525     4.81866      -4.81504
 -7.45932   0.08575    -0.08504     4.89493      -4.91686
 -7.43429   0.07649    -0.07625     4.46212      -4.50346
 -7.40926   0.06146    -0.06152     3.66058      -3.70989
 -7.38423   0.04463    -0.04485     2.71286      -2.75883
 -7.35920   0.02951    -0.02971     1.82526      -1.86088
 -7.33417   0.01797    -0.01813     1.12228      -1.14593
 -7.30914   0.01037    -0.01046     0.63703      -0.65069
 -7.28411   0.00600    -0.00602     0.34026      -0.34712
 -7.25907   0.00389    -0.00385     0.17860      -0.18150
 -7.23404   0.00317    -0.00310     0.10255      -0.10323
 -7.20901   0.00328    -0.00317     0.08123      -0.08037
 -7.18398   0.00402    -0.00385     0.10989      -0.10700
 -7.15895   0.00548    -0.00523     0.21523      -0.20874
 -7.13392   0.00811    -0.00772     0.45791      -0.44516
 -7.10889   0.01252    -0.01195     0.92119      -0.89915
 -7.08385   0.01929    -0.01849     1.67372      -1.64100
 -7.05882   0.02825    -0.02723     2.70697      -2.66609
 -7.03379   0.03820    -0.03698     3.87863      -3.83733
 -7.00876   0.04673    -0.04544     4.91537      -4.88495
 -6.98373   0.05128    -0.05008     5.50612      -5.49665
 -6.95870   0.05021    -0.04925     5.45070      -5.46571
 -6.93367   0.04388    -0.04321     4.76815      -4.80264
 -6.90864   0.03435    -0.03396     3.68602      -3.72924
 -6.88360   0.02445    -0.02422     2.51885      -2.55960
 -6.85857   0.01637    -0.01617     1.52282      -1.55405
 -6.83354   0.01115    -0.01092     0.81666      -0.83665
 -6.80851   0.00891    -0.00854     0.39226      -0.40285
 -6.78348   0.00927    -0.00870     0.17513      -0.17937
 -6.75845   0.01194    -0.01109     0.08286      -0.08336
 -6.73342   0.01677    -0.01554     0.05504      -0.05335
 -6.70839   0.02348    -0.02183     0.05682      -0.05376
 -6.68335   0.03140    -0.02941     0.07065      -0.06670
 -6.65832   0.03936    -0.03720     0.08756      -0.08320
